Source,Target,Weight,If_across,Type,Category
Institut National de la Recherche Scientifique ,Institut de Cardiologie de Montreal ,1,1,directed,Mobility
L'Institut de Recherches Cliniques de Montreal ,Institut de Cardiologie de Montreal ,2,0,directed,Mobility
Institut de Cardiologie de Montreal ,Institut National de la Recherche Scientifique ,1,1,undirected,Cooperation
Bristol-Meyers Company ,Institut National de la Sante et de la Recherche Medicale ,1,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Institut National de la Sante et de la Recherche Medicale ,3,0,undirected,Cooperation
"E. R. Squibb & Sons, Inc.",Institut National de la Sante et de la Recherche Medicale ,2,1,undirected,Cooperation
Universite Louis Pasteur ,Institut National de la Sante et de la Recherche Medicale ,9,1,directed,Mobility
Montedison S.p.A.,Institut National de la Recherche Scientifique ,1,1,directed,Mobility
Nova Molecular Inc.,Institut Pasteur ,3,1,directed,Mobility
National Research Coucil of Canada ,Institute Francais du Petrole ,1,1,directed,Mobility
ACEP Inc ,Institute of Organic Chemistry National Academy of Sciences of Ukraine ,1,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,Institute of Organic Chemistry National Academy of Sciences of Ukraine ,2,1,undirected,Cooperation
Phostech Lithium Inc.,Institute of Organic Chemistry National Academy of Sciences of Ukraine ,1,1,directed,Mobility
Societe Nationale Elf Aquitaine ,Institute of Organic Chemistry National Academy of Sciences of Ukraine ,1,1,directed,Mobility
Universite d'Angers ,Institute of Organic Chemistry National Academy of Sciences of Ukraine ,4,1,directed,Mobility
Institut Pasteur ,Institute Pasteur ,3,0,directed,Mobility
L'Institut de Recherches Cliniques de Montreal ,Institute Pasteur ,1,1,directed,Mobility
Imperial Cancer Research Technology ,International Center for Genetic Engineering and Biotechnology ,1,1,undirected,Cooperation
Societe de Conseils de Recherches et d'Applications Scientifiques ,Ipsen Pharma S.A.S.,3,1,directed,Mobility
Bristol-Meyers Company ,"Isis Pharmaceuticals, Inc.",1,1,directed,Mobility
McGill Univeristy ,"Isis Pharmaceuticals, Inc.",9,1,directed,Mobility
Merck & Co. Inc.,Johns Hopkins University ,2,1,directed,Mobility
Alcan Internatinal Limited ,Johnson & Johnson ,1,1,directed,Mobility
Johnson & Johnson ,"Johnson & Johnson Consumer Products, Inc.",2,1,directed,Mobility
Bathium Canada Inc.,Johnson Matthey Public Limited Company ,1,1,undirected,Cooperation
Clariant ,Johnson Matthey Public Limited Company ,1,1,directed,Mobility
Hydro-Quebec ,Johnson Matthey Public Limited Company ,2,1,directed,Mobility
Phostech Lithium Inc.,Johnson Matthey Public Limited Company ,1,1,directed,Mobility
Celmed Biosciences Inc.,Kiadis Pharma Canada Inc.,2,1,directed,Mobility
Enobia Pharma ,Kiadis Pharma Canada Inc.,1,1,directed,Mobility
Ibex Technologies ,Kiadis Pharma Canada Inc.,1,1,directed,Mobility
Theratechnologies Inc.,Kiadis Pharma Canada Inc.,2,1,directed,Mobility
Universite d'Angers ,Kiadis Pharma Canada Inc.,1,1,directed,Mobility
BHI Limited Partnership ,Kong; Xianqi ,1,1,directed,Mobility
Bio-Chem Pharma Inc.,Kong; Xianqi ,1,1,directed,Mobility
Conjuchem Biotechnologies Inc.,Kong; Xianqi ,1,1,directed,Mobility
Shire Biochem Inc.,Kong; Xianqi ,1,1,directed,Mobility
Bio-Chem Pharma Inc.,Kotinos Pharmaceuticals Inc.,1,1,directed,Mobility
Procyon Biopharma Inc.,Kotinos Pharmaceuticals Inc.,5,1,directed,Mobility
The Institute of Microbiology and Hygiene of the University of Montreal ,L'Institut Armand-Frappier ,1,1,directed,Mobility
"American Iron & Metal Company, Inc.","La Compagnie Americanine de Fer et Metaux, Inc.",1,1,undirected,Cooperation
Johnson Matthey Public Limited Company ,La Corporation de l'Ecole Polytechnique ,1,1,undirected,Cooperation
Phostech Lithium Inc.,La Corporation de l'Ecole Polytechnique ,1,0,directed,Mobility
Delmar Chemicals ,Labopharm ,2,1,directed,Mobility
Labopharm Europe Limited ,Labopharm ,1,1,directed,Mobility
Labopharm ,Labopharm Europe Limited ,2,1,undirected,Cooperation
"Tetraphase Pharmaceuticals, Inc.",Labopharm Europe Limited ,1,1,directed,Mobility
Universite d'Angers ,Labopharm Europe Limited ,1,1,directed,Mobility
Institut de Cardiologie de Montreal ,LCB Pharma Inc.,1,0,directed,Mobility
Merck & Co. Inc.,LCB Pharma Inc.,1,1,directed,Mobility
Alcan Internatinal Limited ,Les Sables Olimag Inc.,1,1,undirected,Cooperation
Merck & Co. Inc.,M. S. & D. ,2,1,directed,Mobility
Universite d'Angers ,Martin R&F Inc.,1,0,directed,Mobility
McGill Univeristy ,Martinex R & D Inc.,3,0,directed,Mobility
American Diagnostica Inc.,McGill Univeristy ,1,1,undirected,Cooperation
Amgen Canada Inc.,McGill Univeristy ,1,1,undirected,Cooperation
Canadian Patent and Development Ltd.,McGill Univeristy ,1,1,directed,Mobility
Cancer Care Ontario ,McGill Univeristy ,1,1,undirected,Cooperation
Centre National de la Rechecch Scientifique ,McGill Univeristy ,1,1,undirected,Cooperation
